broad_category,shallow_category_name,Type,Color,Pattern Type,Length,Fit Type,Neckline,Sleeve Length,Sleeve Type,Hem Shaped,Waist Line,Details,Style
TOPS,Women Tops,-,white,plain,crop,regular fit,off the shoulder,short sleeve,puff sleeve,-,-,frill|tie back|ruched bust,boho
TOPS,Women Tank Tops & Camis,cami,royal blue,plain,crop,slim fit,spaghetti strap,-,-,-,-,criss cross|drawstring|ruched|tie back,boho
TOPS,Women Tops,-,pink,plain,crop,regular fit,strapless,sleeveless,-,flared,-,frill|shirred|tie front,boho
TOPS,Women Tops,-,pink,plain,crop,slim fit,v neck,sleeveless,-,flared,-,ruffle|ruffle hem,boho
TOPS,Women Knit Tops,-,multicolor,tie dye,crop,regular fit,halter,sleeveless,-,-,-,backless|tie back,boho
TOPS,Women Tank Tops & Camis,tank,multicolor,floral|all over print,crop,regular fit,round neck,-,-,-,-,knot|backless,boho
TOPS,Women Tank Tops & Camis,cami,multicolor,floral,crop,slim fit,spaghetti strap,-,-,-,-,ring|ruched bust,boho
TOPS,Women Tops,-,multicolor,paisley,crop,slim fit,strapless,sleeveless,-,asymmetrical,-,asymmetrical|tie back,boho
TOPS,Women Tops,-,multicolor,marble,crop,slim fit,sweetheart,long sleeve,regular sleeve,-,-,drawstring|knot|ruched,boho
TOPS,Women Blouses,top,multicolor,floral|all over print,crop,slim fit,sweetheart,cap sleeve,raglan sleeve,-,-,cut out|shirred|tie front,boho
TOPS,Women Knit Tops,-,khaki,plain,crop,regular fit,halter,sleeveless,-,asymmetrical,-,asymmetrical|backless|tie back,boho
TOPS,Women Tops,-,chocolate brown,plain,crop,slim fit,sweetheart,cap sleeve,regular sleeve,-,-,knot|ruched,boho
TOPS,Women Tank Tops & Camis,halter,burgundy,ditsy floral,crop,regular fit,halter,-,-,-,-,ruffle hem|tie back,boho
TOPS,Women Blouses,top,brown,plain,crop,regular fit,square neck,long sleeve,flounce sleeve,-,-,ruffle|tie back,boho
TOPS,Women Tank Tops & Camis,halter,blue and white,leopard,crop,regular fit,halter,-,-,-,-,shirred,boho
TOPS,Women Tank Tops & Camis,halter,blue and white,floral,crop,slim fit,halter,-,-,-,-,rib-knit,boho
TOPS,Women Tank Tops & Camis,tank,beige,ditsy floral,crop,slim fit,scoop neck,-,-,-,-,lettuce trim,boho
TOPS,Women Blouses,top,yellow,plain,regular,regular fit,collar,long sleeve,regular sleeve,-,-,twist,casual
TOPS,Women Blouses,shirt,white,plain,regular,regular fit,collar,long sleeve,regular sleeve,-,-,button front,casual
TOPS,Women Blouses,top,white,plain,regular,regular fit,notched,short sleeve,batwing sleeve,-,-,-,casual
TOPS,Women Blouses,top,white,plaid,regular,regular fit,notched,short sleeve,batwing sleeve,-,-,-,casual
TOPS,Women Blouses,top,white,heart|all over print,regular,regular fit,notched,cap sleeve,butterfly sleeve,-,-,ruffle,casual
TOPS,Women T-Shirts,-,white,heart,regular,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,white,figure|all over print,regular,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women Tank Tops & Camis,tank,white,plain,regular,regular fit,stand collar,-,-,-,-,-,casual
TOPS,Women Blouses,top,white,all over print,regular,regular fit,tie neck,long sleeve,puff sleeve,-,-,tie front,casual
TOPS,Women Blouses,top,white,plain,regular,regular fit,v neck,long sleeve,bishop sleeve,-,-,contrast lace,casual
TOPS,Women Blouses,top,white,plain,regular,regular fit,v neck,sleeveless,-,-,-,-,casual
TOPS,Women Tank Tops & Camis,halter,teal blue,plain,regular,slim fit,halter,-,-,-,-,criss cross,casual
TOPS,Women T-Shirts,-,red,heart|leopard,regular,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women Blouses,shirt,multicolor,all over print,regular,regular fit,collar,long sleeve,regular sleeve,-,-,button front,casual
TOPS,Women Blouses,top,multicolor,striped,regular,regular fit,notched,short sleeve,batwing sleeve,-,-,-,casual
TOPS,Women Knit Tops,-,multicolor,floral,regular,regular fit,polo,half sleeve,puff sleeve,-,-,button front,casual
TOPS,Women T-Shirts,-,multicolor,colorblock,regular,oversized,round neck,long sleeve,batwing sleeve,-,-,rib-knit,casual
TOPS,Women T-Shirts,-,multicolor,heart,regular,regular fit,round neck,short sleeve,puff sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,multicolor,striped,regular,regular fit,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women Blouses,top,multicolor,patchwork,regular,regular fit,round neck,long sleeve,bishop sleeve,-,-,button,casual
TOPS,Women Blouses,top,multicolor,chain print,regular,regular fit,round neck,short sleeve,batwing sleeve,-,-,-,casual
TOPS,Women Tops,-,multicolor,geometric,regular,slim fit,stand collar,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women T-Shirts,-,multicolor,animal,regular,slim fit,stand collar,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women Blouses,top,multicolor,all over print,regular,regular fit,tie neck,long sleeve,bishop sleeve,-,-,tie front,casual
TOPS,Women T-Shirts,-,multicolor,colorblock,regular,regular fit,v neck,long sleeve,regular sleeve,-,-,-,casual
TOPS,Women Blouses,top,multicolor,floral,regular,regular fit,v neck,short sleeve,batwing sleeve,-,-,cut out,casual
TOPS,Women Blouses,top,multicolor,all over print,regular,regular fit,v neck,short sleeve,petal sleeve,-,-,-,casual
TOPS,Women Tank Tops & Camis,tank,mint green,plain,regular,regular fit,high neck,-,-,-,-,split|rib-knit,casual
TOPS,Women Blouses,top,mint green,plain,regular,regular fit,round neck,long sleeve,flounce sleeve,-,-,ruffle,casual
TOPS,Women T-Shirts,-,light grey,colorblock,regular,oversized,round neck,half sleeve,raglan sleeve,-,-,-,casual
